player_id,age,club_id,estimated_selling_value,expiry_date,name,position,rating,selling_value,selling_value_difference,transfer_status,updated_date,wage,value,contract,experience,personality,weeks_at_the_club,highest_bidding_club
5865599,34,29037,15352782,"2019-11-17 07:09:00","Ivo Krile",MIDFIELDER_CENTER,26,500000,0,ALREADY_SOLD,NULL,9823,1710018,"Until the end of the season",0,-,249,Steaua111
10910823,18,10984,8572414,"2019-11-17 07:27:00","Henrikas Gudelevicius",ATTACKER_LEFT,5,142000,0,ALREADY_SOLD,NULL,42,94850,"Until the end of the season",0,-,15,"West Herzegowina UTD FC"
12170029,17,106620,7824625,"2019-11-17 08:49:00","Hugo Fysh",GOALKEEPER,5,19000,0,ALREADY_SOLD,NULL,13,6012,"2 seasons",0,"He has low self-belief and can sometimes buckle under pressure.",65,AKINCILAR-1453
10796956,18,60376,13001973,"2019-11-17 19:01:00","Ninoslav Bogovac",DEFENDER_RIGHT,14,214967,0,ALREADY_SOLD,NULL,427,204331,"Until the end of the season",0,-,26,"FC Legendos"
9664303,22,104560,10602395,"2019-11-17 10:14:00","Mohamed Mahdi Chatih",MIDFIELDER_CENTER,11,20000,0,ALREADY_SOLD,NULL,376,163803,"Until the end of the season",0,-,67,猎鲸船
10624828,21,104539,9413450,"2019-11-17 10:11:00","Julius Wenzler",MIDFIELDER_CENTER,8,20000,0,ALREADY_SOLD,NULL,193,94681,"Until the end of the season",0,-,160,猎鲸船
8151575,27,102834,12339686,"2019-11-17 13:30:00","Tazul Islam Awal",ATTACKER_CENTER,16,752538,0,ALREADY_SOLD,NULL,873,497692,"2 seasons",0,-,88,"FC Steaua Bukarest"
9318013,24,99985,10729335,"2019-11-17 13:52:00","Miklos Matusch",MIDFIELDER_CENTER,11,6813000,0,ALREADY_SOLD,NULL,480,229455,"3 seasons",0,-,188,"DINAMO BUC"
11242520,17,67271,10247874,"2019-11-17 07:38:00","Krzysztof Potoczny",DEFENDER_LEFT,8,206999,0,ALREADY_SOLD,NULL,197,92120,"2 seasons",0,-,66,"ASAS F.C"
10621059,18,47942,11824612,"2019-11-17 14:12:00","Vecdi Dolan",GOALKEEPER,10,8000000,0,ALREADY_SOLD,NULL,120,206250,"2 seasons",0,-,25,Kaynarcaspor
10934000,18,55040,9756180,"2019-11-17 08:49:00","Sergei Yablonsky",GOALKEEPER,8,7000,0,ALREADY_SOLD,NULL,135,67111,"Until the end of the season",0,-,10,AKINCILAR-1453
8459235,25,45300,24975256,"2019-11-17 10:55:00","Ludolph Godlieb",DEFENDER_RIGHT,40,48000000,0,ALREADY_SOLD,NULL,46887,35427000,"3 seasons",0,-,16,"de Grootmeesters"
11241238,17,40904,9593041,"2019-11-17 12:12:00","Safak Erkocak",GOALKEEPER,8,39000,0,ALREADY_SOLD,NULL,118,55267,"2 seasons",0,"He's a very funny and friendly character.",67,"C.S. SPARTA"
10423133,19,106043,12905374,"2019-11-17 16:15:00","Jozef Kalinowski",ATTACKER_CENTER,13,381000,0,ALREADY_SOLD,NULL,462,244432,"2 seasons",0,-,10,"RÉVOLÙTION UNITED"
10105890,21,103978,12376860,"2019-11-17 20:32:00","Dolf Kivit",DEFENDER_LEFT,13,808000,0,ALREADY_SOLD,NULL,743,260517,"Until the end of the season",0,-,14,"Football Stars"
11752215,17,97318,8809956,"2019-11-17 12:16:00","Simon Skrjanc",ATTACKER_CENTER,6,51000,0,ALREADY_SOLD,NULL,55,57256,"2 seasons",0,-,29,"Galacticos C.P."
